Feature,Importance
total_maintenance_count,0.3824683944642815
comp_comp2,0.033264671906710314
machine_stress_index,0.02435639805077224
production_load,0.01661144913909293
health_index,0.014225359927322677
rolling_pressure_mean,0.01289988485308452
rolling_vibration_mean,0.011918822226640159
rolling_voltage_mean,0.010884334146035584
comp_comp1,0.009387873228733336
voltage_std_24h,0.0072179640344726195
rotate,0.0032422701844218387
age,0.0024617304828664795
volt_vibration_ratio,0.0023601720266734007
pressure_std_24h,0.0021404270346688115
pressure,0.001300024768865792
vibration_std_24h,0.0009476923188553403
energy_consumption,0.000755314148977083
vibration,0.00045834316372178987
current,8.4339553605683e-05
total_error_count,0.0
errorID_error4,0.0
errorID_error1,0.0
errorID_error2,0.0
volt,0.0
comp_comp4,0.0
comp_comp3,0.0
errorID_error5,0.0
errorID_error3,0.0
error_maintenance_ratio,0.0
model_encoded,0.0
age_category_encoded,0.0
